"","sub_region_1","sub_region_2"
"1456","State of Rio de Janeiro","Paty do Alferes"
"1457","State of Rio de Janeiro","Petrópolis"
"1458","State of Rio de Janeiro","Pinheiral"
"1459","State of Rio de Janeiro","Piraí"
"1460","State of Rio de Janeiro","Porciúncula"
"1461","State of Rio de Janeiro","Porto Real"
"1462","State of Rio de Janeiro","Quatis"
"1463","State of Rio de Janeiro","Queimados"
"1464","State of Rio de Janeiro","Quissamã"
"1465","State of Rio de Janeiro","Resende"
"1466","State of Rio de Janeiro","Rio Bonito"
"1467","State of Rio de Janeiro","Rio Claro"
"1468","State of Rio de Janeiro","Rio das Ostras"
"1469","State of Rio de Janeiro","Rio de Janeiro"
"1470","State of Rio de Janeiro","Santo Antônio de Pádua"
"1471","State of Rio de Janeiro","São Fidélis"
"1472","State of Rio de Janeiro","São Francisco de Itabapoana"
"1473","State of Rio de Janeiro","São Gonçalo"
"1474","State of Rio de Janeiro","São João da Barra"
"1475","State of Rio de Janeiro","São João de Meriti"
"1476","State of Rio de Janeiro","São José de Ubá"
"1477","State of Rio de Janeiro","São José do Vale do Rio Preto"
"1478","State of Rio de Janeiro","São Pedro da Aldeia"
"1479","State of Rio de Janeiro","Sapucaia"
"1480","State of Rio de Janeiro","Saquarema"
"1481","State of Rio de Janeiro","Seropédica"
"1482","State of Rio de Janeiro","Silva Jardim"
"1483","State of Rio de Janeiro","Sumidouro"
"1484","State of Rio de Janeiro","Tanguá"
"1485","State of Rio de Janeiro","Teresópolis"
"1486","State of Rio de Janeiro","Três Rios"
"1487","State of Rio de Janeiro","Valença"
"1488","State of Rio de Janeiro","Vassouras"
"1489","State of Rio de Janeiro","Volta Redonda"
"1490","State of Rio Grande do Norte",NA
"1491","State of Rio Grande do Norte","Alto do Rodrigues"
"1492","State of Rio Grande do Norte","Angicos"
"1493","State of Rio Grande do Norte","Apodi"
"1494","State of Rio Grande do Norte","Areia Branca"
"1495","State of Rio Grande do Norte","Assu"
"1496","State of Rio Grande do Norte","Baraúna"
"1497","State of Rio Grande do Norte","Caicó"
"1498","State of Rio Grande do Norte","Canguaretama"
"1499","State of Rio Grande do Norte","Caraúbas"
"1500","State of Rio Grande do Norte","Ceará-Mirim"
"1501","State of Rio Grande do Norte","Currais Novos"
"1502","State of Rio Grande do Norte","Extremoz"
"1503","State of Rio Grande do Norte","Felipe Guerra"
"1504","State of Rio Grande do Norte","Goianinha"
"1505","State of Rio Grande do Norte","Guamaré"
"1506","State of Rio Grande do Norte","Jardim de Piranhas"
"1507","State of Rio Grande do Norte","Jardim do Seridó"
"1508","State of Rio Grande do Norte","João Câmara"
"1509","State of Rio Grande do Norte","Jucurutu"
"1510","State of Rio Grande do Norte","Macaíba"
"1511","State of Rio Grande do Norte","Macau"
"1512","State of Rio Grande do Norte","Monte Alegre"
"1513","State of Rio Grande do Norte","Mossoró"
"1514","State of Rio Grande do Norte","Natal"
"1515","State of Rio Grande do Norte","Nísia Floresta"
"1516","State of Rio Grande do Norte","Nova Cruz"
"1517","State of Rio Grande do Norte","Parelhas"
"1518","State of Rio Grande do Norte","Parnamirim"
"1519","State of Rio Grande do Norte","Pau dos Ferros"
"1520","State of Rio Grande do Norte","Santa Cruz"
"1521","State of Rio Grande do Norte","Santo Antônio"
"1522","State of Rio Grande do Norte","São Gonçalo do Amarante"
"1523","State of Rio Grande do Norte","São José de Mipibu"
"1524","State of Rio Grande do Norte","São Miguel"
"1525","State of Rio Grande do Norte","São Paulo do Potengi"
"1526","State of Rio Grande do Norte","Tibau do Sul"
"1527","State of Rio Grande do Norte","Touros"
"1528","State of Rio Grande do Sul",NA
"1529","State of Rio Grande do Sul","Agudo"
"1530","State of Rio Grande do Sul","Alegrete"
"1531","State of Rio Grande do Sul","Alvorada"
"1532","State of Rio Grande do Sul","Antônio Prado"
"1533","State of Rio Grande do Sul","Araricá"
"1534","State of Rio Grande do Sul","Arroio do Meio"
"1535","State of Rio Grande do Sul","Arroio do Sal"
"1536","State of Rio Grande do Sul","Arroio do Tigre"
"1537","State of Rio Grande do Sul","Arroio dos Ratos"
"1538","State of Rio Grande do Sul","Arroio Grande"
"1539","State of Rio Grande do Sul","Bagé"
"1540","State of Rio Grande do Sul","Balneário Pinhal"
"1541","State of Rio Grande do Sul","Barão"
"1542","State of Rio Grande do Sul","Barra do Ribeiro"
"1543","State of Rio Grande do Sul","Bento Gonçalves"
"1544","State of Rio Grande do Sul","Bom Princípio"
"1545","State of Rio Grande do Sul","Bom Retiro do Sul"
"1546","State of Rio Grande do Sul","Butiá"
"1547","State of Rio Grande do Sul","Caçapava do Sul"
"1548","State of Rio Grande do Sul","Cachoeira do Sul"
"1549","State of Rio Grande do Sul","Cachoeirinha"
"1550","State of Rio Grande do Sul","Camaquã"
"1551","State of Rio Grande do Sul","Campo Bom"
"1552","State of Rio Grande do Sul","Candelária"
"1553","State of Rio Grande do Sul","Candiota"
"1554","State of Rio Grande do Sul","Canela"
"1555","State of Rio Grande do Sul","Canguçu"
"1556","State of Rio Grande do Sul","Canoas"
"1557","State of Rio Grande do Sul","Capão da Canoa"
"1558","State of Rio Grande do Sul","Capão do Leão"
"1559","State of Rio Grande do Sul","Capela de Santana"
"1560","State of Rio Grande do Sul","Carazinho"
"1561","State of Rio Grande do Sul","Carlos Barbosa"
"1562","State of Rio Grande do Sul","Casca"
"1563","State of Rio Grande do Sul","Caxias do Sul"
"1564","State of Rio Grande do Sul","Cerro Largo"
"1565","State of Rio Grande do Sul","Chapada"
"1566","State of Rio Grande do Sul","Charqueadas"
"1567","State of Rio Grande do Sul","Chui"
"1568","State of Rio Grande do Sul","Cidreira"
"1569","State of Rio Grande do Sul","Constantina"
"1570","State of Rio Grande do Sul","Crissiumal"
"1571","State of Rio Grande do Sul","Cruz Alta"
"1572","State of Rio Grande do Sul","Cruzeiro do Sul"
"1573","State of Rio Grande do Sul","Dois Irmãos"
"1574","State of Rio Grande do Sul","Dom Pedrito"
"1575","State of Rio Grande do Sul","Eldorado do Sul"
"1576","State of Rio Grande do Sul","Encantado"
"1577","State of Rio Grande do Sul","Encruzilhada do Sul"
"1578","State of Rio Grande do Sul","Entre-Ijuís"
"1579","State of Rio Grande do Sul","Erechim"
"1580","State of Rio Grande do Sul","Espumoso"
"1581","State of Rio Grande do Sul","Estância Velha"
"1582","State of Rio Grande do Sul","Esteio"
"1583","State of Rio Grande do Sul","Estrela"
"1584","State of Rio Grande do Sul","Farroupilha"
"1585","State of Rio Grande do Sul","Feliz"
"1586","State of Rio Grande do Sul","Flores da Cunha"
"1587","State of Rio Grande do Sul","Fontoura Xavier"
"1588","State of Rio Grande do Sul","Frederico Westphalen"
"1589","State of Rio Grande do Sul","Garibaldi"
"1590","State of Rio Grande do Sul","Getúlio Vargas"
"1591","State of Rio Grande do Sul","Giruá"
"1592","State of Rio Grande do Sul","Glorinha"
"1593","State of Rio Grande do Sul","Gramado"
"1594","State of Rio Grande do Sul","Gravataí"
"1595","State of Rio Grande do Sul","Guaíba"
"1596","State of Rio Grande do Sul","Guaporé"
"1597","State of Rio Grande do Sul","Horizontina"
"1598","State of Rio Grande do Sul","Ibirubá"
"1599","State of Rio Grande do Sul","Igrejinha"
"1600","State of Rio Grande do Sul","Ijuí"
"1601","State of Rio Grande do Sul","Imbé"
"1602","State of Rio Grande do Sul","Itaqui"
"1603","State of Rio Grande do Sul","Ivoti"
"1604","State of Rio Grande do Sul","Jaguarão"
"1605","State of Rio Grande do Sul","Júlio de Castilhos"
"1606","State of Rio Grande do Sul","Lagoa Vermelha"
"1607","State of Rio Grande do Sul","Lajeado"
"1608","State of Rio Grande do Sul","Lindolfo Collor"
"1609","State of Rio Grande do Sul","Mampituba"
"1610","State of Rio Grande do Sul","Marau"
"1611","State of Rio Grande do Sul","Montenegro"
"1612","State of Rio Grande do Sul","Morro Reuter"
"1613","State of Rio Grande do Sul","Mostardas"
"1614","State of Rio Grande do Sul","Não-Me-Toque"
"1615","State of Rio Grande do Sul","Nonoai"
"1616","State of Rio Grande do Sul","Nova Bassano"
"1617","State of Rio Grande do Sul","Nova Hartz"
"1618","State of Rio Grande do Sul","Nova Petrópolis"
"1619","State of Rio Grande do Sul","Nova Prata"
"1620","State of Rio Grande do Sul","Nova Santa Rita"
"1621","State of Rio Grande do Sul","Novo Hamburgo"
"1622","State of Rio Grande do Sul","Osório"
"1623","State of Rio Grande do Sul","Palmares do Sul"
"1624","State of Rio Grande do Sul","Palmeira das Missões"
"1625","State of Rio Grande do Sul","Panambi"
"1626","State of Rio Grande do Sul","Pantano Grande"
"1627","State of Rio Grande do Sul","Paraí"
"1628","State of Rio Grande do Sul","Parobé"
"1629","State of Rio Grande do Sul","Passo Fundo"
"1630","State of Rio Grande do Sul","Paverama"
"1631","State of Rio Grande do Sul","Pelotas"
"1632","State of Rio Grande do Sul","Picada Café"
"1633","State of Rio Grande do Sul","Pinheiro Machado"
"1634","State of Rio Grande do Sul","Piratini"
"1635","State of Rio Grande do Sul","Portão"
"1636","State of Rio Grande do Sul","Porto Alegre"
"1637","State of Rio Grande do Sul","Quaraí"
"1638","State of Rio Grande do Sul","Restinga Seca"
"1639","State of Rio Grande do Sul","Rio Grande"
"1640","State of Rio Grande do Sul","Rio Pardo"
"1641","State of Rio Grande do Sul","Roca Sales"
"1642","State of Rio Grande do Sul","Rolante"
"1643","State of Rio Grande do Sul","Rosário do Sul"
"1644","State of Rio Grande do Sul","Salto do Jacuí"
"1645","State of Rio Grande do Sul","Salvador do Sul"
"1646","State of Rio Grande do Sul","Sananduva"
"1647","State of Rio Grande do Sul","Santa Clara do Sul"
"1648","State of Rio Grande do Sul","Santa Cruz do Sul"
"1649","State of Rio Grande do Sul","Santa Maria"
"1650","State of Rio Grande do Sul","Santa Maria do Herval"
"1651","State of Rio Grande do Sul","Santa Rosa"
"1652","State of Rio Grande do Sul","Santa Vitória do Palmar"
"1653","State of Rio Grande do Sul","Santana do Livramento"
"1654","State of Rio Grande do Sul","Santiago"
"1655","State of Rio Grande do Sul","Santo Ângelo"
"1656","State of Rio Grande do Sul","Santo Antônio da Patrulha"
"1657","State of Rio Grande do Sul","Santo Augusto"
"1658","State of Rio Grande do Sul","Santo Cristo"
"1659","State of Rio Grande do Sul","São Borja"
"1660","State of Rio Grande do Sul","São Francisco de Assis"
"1661","State of Rio Grande do Sul","São Francisco de Paula"
"1662","State of Rio Grande do Sul","São Gabriel"
"1663","State of Rio Grande do Sul","São Jerônimo"
"1664","State of Rio Grande do Sul","São José do Norte"
"1665","State of Rio Grande do Sul","São Leopoldo"
"1666","State of Rio Grande do Sul","São Lourenço do Sul"
"1667","State of Rio Grande do Sul","São Luiz Gonzaga"
"1668","State of Rio Grande do Sul","São Marcos"
"1669","State of Rio Grande do Sul","São Pedro do Sul"
"1670","State of Rio Grande do Sul","São Sebastião do Caí"
"1671","State of Rio Grande do Sul","São Sepé"
"1672","State of Rio Grande do Sul","Sapiranga"
"1673","State of Rio Grande do Sul","Sapucaia do Sul"
"1674","State of Rio Grande do Sul","Sarandi"
"1675","State of Rio Grande do Sul","Seberi"
"1676","State of Rio Grande do Sul","Serafina Corrêa"
"1677","State of Rio Grande do Sul","Sobradinho"
"1678","State of Rio Grande do Sul","Soledade"
"1679","State of Rio Grande do Sul","Tapejara"
"1680","State of Rio Grande do Sul","Tapera"
"1681","State of Rio Grande do Sul","Tapes"
"1682","State of Rio Grande do Sul","Taquara"
"1683","State of Rio Grande do Sul","Taquari"
"1684","State of Rio Grande do Sul","Tenente Portela"
"1685","State of Rio Grande do Sul","Terra de Areia"
"1686","State of Rio Grande do Sul","Teutônia"
"1687","State of Rio Grande do Sul","Torres"
"1688","State of Rio Grande do Sul","Tramandaí"
"1689","State of Rio Grande do Sul","Três Cachoeiras"
"1690","State of Rio Grande do Sul","Três Coroas"
"1691","State of Rio Grande do Sul","Três de Maio"
"1692","State of Rio Grande do Sul","Três Passos"
"1693","State of Rio Grande do Sul","Triunfo"
"1694","State of Rio Grande do Sul","Tupanciretã"
"1695","State of Rio Grande do Sul","Tuparendi"
"1696","State of Rio Grande do Sul","Uruguaiana"
"1697","State of Rio Grande do Sul","Vacaria"
"1698","State of Rio Grande do Sul","Vale Real"
"1699","State of Rio Grande do Sul","Venâncio Aires"
"1700","State of Rio Grande do Sul","Vera Cruz"
"1701","State of Rio Grande do Sul","Veranópolis"
"1702","State of Rio Grande do Sul","Viamão"
"1703","State of Rio Grande do Sul","Xangri-lá"
"1704","State of Rondônia",NA
"1705","State of Rondônia","Alta Floresta d'Oeste"
"1706","State of Rondônia","Alvorada d'Oeste"
"1707","State of Rondônia","Ariquemes"
"1708","State of Rondônia","Buritis"
"1709","State of Rondônia","Cacoal"
"1710","State of Rondônia","Candeias do Jamari"
"1711","State of Rondônia","Cerejeiras"
"1712","State of Rondônia","Colorado do Oeste"
"1713","State of Rondônia","Espigão d'Oeste"
"1714","State of Rondônia","Guajará-Mirim"
"1715","State of Rondônia","Jaru"
"1716","State of Rondônia","Ji-Paraná"
"1717","State of Rondônia","Machadinho d'Oeste"
"1718","State of Rondônia","Nova Brasilândia d'Oeste"
"1719","State of Rondônia","Nova Mamoré"
"1720","State of Rondônia","Ouro Preto do Oeste"
"1721","State of Rondônia","Pimenta Bueno"
"1722","State of Rondônia","Porto Velho"
"1723","State of Rondônia","Presidente Médici"
"1724","State of Rondônia","Rolim de Moura"
"1725","State of Rondônia","São Francisco do Guaporé"
"1726","State of Rondônia","São Miguel do Guaporé"
"1727","State of Rondônia","Vilhena"
"1728","State of Roraima",NA
"1729","State of Roraima","Boa Vista"
"1730","State of Roraima","Rorainópolis"
"1731","State of Santa Catarina",NA
"1732","State of Santa Catarina","Abelardo Luz"
"1733","State of Santa Catarina","Agrolândia"
"1734","State of Santa Catarina","Agronômica"
"1735","State of Santa Catarina","Águas Mornas"
"1736","State of Santa Catarina","Alfredo Wagner"
"1737","State of Santa Catarina","Antônio Carlos"
"1738","State of Santa Catarina","Apiúna"
"1739","State of Santa Catarina","Araquari"
"1740","State of Santa Catarina","Araranguá"
"1741","State of Santa Catarina","Armazém"
"1742","State of Santa Catarina","Ascurra"
"1743","State of Santa Catarina","Balneário Arroio do Silva"
"1744","State of Santa Catarina","Balneário Barra do Sul"
"1745","State of Santa Catarina","Balneário Camboriú"
"1746","State of Santa Catarina","Balneário Gaivota"
"1747","State of Santa Catarina","Barra Velha"
"1748","State of Santa Catarina","Benedito Novo"
"1749","State of Santa Catarina","Biguaçu"
"1750","State of Santa Catarina","Blumenau"
"1751","State of Santa Catarina","Bombinhas"
"1752","State of Santa Catarina","Braço do Norte"
"1753","State of Santa Catarina","Brusque"
"1754","State of Santa Catarina","Caçador"
"1755","State of Santa Catarina","Camboriú"
"1756","State of Santa Catarina","Campo Alegre"
"1757","State of Santa Catarina","Campo Erê"
"1758","State of Santa Catarina","Campos Novos"
"1759","State of Santa Catarina","Canelinha"
"1760","State of Santa Catarina","Canoinhas"
"1761","State of Santa Catarina","Capinzal"
"1762","State of Santa Catarina","Capivari de Baixo"
"1763","State of Santa Catarina","Catanduvas"
"1764","State of Santa Catarina","Chapecó"
"1765","State of Santa Catarina","Cocal do Sul"
"1766","State of Santa Catarina","Concórdia"
"1767","State of Santa Catarina","Coronel Freitas"
"1768","State of Santa Catarina","Correia Pinto"
"1769","State of Santa Catarina","Corupá"
"1770","State of Santa Catarina","Criciúma"
"1771","State of Santa Catarina","Cunha Porã"
"1772","State of Santa Catarina","Curitibanos"
"1773","State of Santa Catarina","Dionísio Cerqueira"
"1774","State of Santa Catarina","Faxinal dos Guedes"
"1775","State of Santa Catarina","Florianópolis"
"1776","State of Santa Catarina","Forquilhinha"
"1777","State of Santa Catarina","Fraiburgo"
"1778","State of Santa Catarina","Garopaba"
"1779","State of Santa Catarina","Garuva"
"1780","State of Santa Catarina","Gaspar"
"1781","State of Santa Catarina","Governador Celso Ramos"
"1782","State of Santa Catarina","Gravatal"
"1783","State of Santa Catarina","Guabiruba"
"1784","State of Santa Catarina","Guaraciaba"
"1785","State of Santa Catarina","Guaramirim"
"1786","State of Santa Catarina","Herval d'Oeste"
"1787","State of Santa Catarina","Ibirama"
"1788","State of Santa Catarina","Içara"
"1789","State of Santa Catarina","Ilhota"
"1790","State of Santa Catarina","Imaruí"
"1791","State of Santa Catarina","Imbituba"
"1792","State of Santa Catarina","Imbuia"
"1793","State of Santa Catarina","Indaial"
"1794","State of Santa Catarina","Iporã do Oeste"
"1795","State of Santa Catarina","Irani"
"1796","State of Santa Catarina","Itá"
"1797","State of Santa Catarina","Itaiópolis"
"1798","State of Santa Catarina","Itajaí"
"1799","State of Santa Catarina","Itapema"
"1800","State of Santa Catarina","Itapiranga"
"1801","State of Santa Catarina","Itapoá"
"1802","State of Santa Catarina","Ituporanga"
"1803","State of Santa Catarina","Jacinto Machado"
"1804","State of Santa Catarina","Jaguaruna"
"1805","State of Santa Catarina","Jaraguá do Sul"
"1806","State of Santa Catarina","Joaçaba"
"1807","State of Santa Catarina","Joinville"
"1808","State of Santa Catarina","Lacerdópolis"
"1809","State of Santa Catarina","Lages"
"1810","State of Santa Catarina","Laguna"
"1811","State of Santa Catarina","Laurentino"
"1812","State of Santa Catarina","Lauro Müller"
"1813","State of Santa Catarina","Lontras"
"1814","State of Santa Catarina","Luiz Alves"
"1815","State of Santa Catarina","Luzerna"
"1816","State of Santa Catarina","Mafra"
"1817","State of Santa Catarina","Maracajá"
"1818","State of Santa Catarina","Maravilha"
"1819","State of Santa Catarina","Massaranduba"
"1820","State of Santa Catarina","Mondaí"
"1821","State of Santa Catarina","Morro da Fumaça"
"1822","State of Santa Catarina","Navegantes"
"1823","State of Santa Catarina","Nova Trento"
"1824","State of Santa Catarina","Nova Veneza"
"1825","State of Santa Catarina","Orleans"
"1826","State of Santa Catarina","Otacílio Costa"
"1827","State of Santa Catarina","Palhoça"
"1828","State of Santa Catarina","Palmitos"
"1829","State of Santa Catarina","Papanduva"
"1830","State of Santa Catarina","Passo de Torres"
"1831","State of Santa Catarina","Paulo Lopes"
"1832","State of Santa Catarina","Penha"
"1833","State of Santa Catarina","Pescaria Brava"
"1834","State of Santa Catarina","Piçarras"
"1835","State of Santa Catarina","Pinhalzinho"
"1836","State of Santa Catarina","Pomerode"
"1837","State of Santa Catarina","Porto Belo"
"1838","State of Santa Catarina","Porto União"
"1839","State of Santa Catarina","Pouso Redondo"
"1840","State of Santa Catarina","Praia Grande"
"1841","State of Santa Catarina","Presidente Getúlio"
"1842","State of Santa Catarina","Quilombo"
"1843","State of Santa Catarina","Rio do Sul"
"1844","State of Santa Catarina","Rio dos Cedros"
"1845","State of Santa Catarina","Rio Negrinho"
"1846","State of Santa Catarina","Rodeio"
"1847","State of Santa Catarina","Sangão"
"1848","State of Santa Catarina","Santa Cecília"
"1849","State of Santa Catarina","Santa Rosa do Sul"
"1850","State of Santa Catarina","Santo Amaro da Imperatriz"
"1851","State of Santa Catarina","São Bento do Sul"
"1852","State of Santa Catarina","São Carlos"
"1853","State of Santa Catarina","São Francisco do Sul"
"1854","State of Santa Catarina","São João Batista"
"1855","State of Santa Catarina","São Joaquim"
"1856","State of Santa Catarina","São José"
"1857","State of Santa Catarina","São José do Cedro"
"1858","State of Santa Catarina","São Lourenço do Oeste"
"1859","State of Santa Catarina","São Ludgero"
"1860","State of Santa Catarina","São Miguel do Oeste"
"1861","State of Santa Catarina","Saudades"
"1862","State of Santa Catarina","Schroeder"
"1863","State of Santa Catarina","Seara"
"1864","State of Santa Catarina","Siderópolis"
"1865","State of Santa Catarina","Sombrio"
"1866","State of Santa Catarina","Taió"
"1867","State of Santa Catarina","Tijucas"
"1868","State of Santa Catarina","Timbó"
"1869","State of Santa Catarina","Três Barras"
"1870","State of Santa Catarina","Treze Tílias"
"1871","State of Santa Catarina","Trombudo Central"
"1872","State of Santa Catarina","Tubarão"
"1873","State of Santa Catarina","Turvo"
"1874","State of Santa Catarina","Urubici"
"1875","State of Santa Catarina","Urussanga"
"1876","State of Santa Catarina","Videira"
"1877","State of Santa Catarina","Xanxerê"
"1878","State of Santa Catarina","Xaxim"
"1879","State of São Paulo",NA
"1880","State of São Paulo","Adamantina"
"1881","State of São Paulo","Aguaí"
"1882","State of São Paulo","Águas da Prata"
"1883","State of São Paulo","Águas de Lindóia"
"1884","State of São Paulo","Agudos"
"1885","State of São Paulo","Altinópolis"
"1886","State of São Paulo","Alumínio"
"1887","State of São Paulo","Álvares Machado"
"1888","State of São Paulo","Americana"
"1889","State of São Paulo","Américo Brasiliense"
"1890","State of São Paulo","Amparo"
"1891","State of São Paulo","Andradina"
"1892","State of São Paulo","Angatuba"
"1893","State of São Paulo","Aparecida"
"1894","State of São Paulo","Apiaí"
"1895","State of São Paulo","Araçariguama"
"1896","State of São Paulo","Araçatuba"
"1897","State of São Paulo","Araçoiaba da Serra"
"1898","State of São Paulo","Araraquara"
"1899","State of São Paulo","Araras"
"1900","State of São Paulo","Arealva"
"1901","State of São Paulo","Areiópolis"
"1902","State of São Paulo","Ariranha"
"1903","State of São Paulo","Artur Nogueira"
"1904","State of São Paulo","Arujá"
"1905","State of São Paulo","Assis"
"1906","State of São Paulo","Atibaia"
"1907","State of São Paulo","Auriflama"
"1908","State of São Paulo","Avanhandava"
"1909","State of São Paulo","Avaré"
"1910","State of São Paulo","Bady Bassitt"
"1911","State of São Paulo","Bálsamo"
"1912","State of São Paulo","Bananal"
"1913","State of São Paulo","Bariri"
"1914","State of São Paulo","Barra Bonita"
"1915","State of São Paulo","Barretos"
"1916","State of São Paulo","Barrinha"
"1917","State of São Paulo","Barueri"
"1918","State of São Paulo","Bastos"
"1919","State of São Paulo","Batatais"
"1920","State of São Paulo","Bauru"
"1921","State of São Paulo","Bebedouro"
"1922","State of São Paulo","Bernardino de Campos"
"1923","State of São Paulo","Bertioga"
"1924","State of São Paulo","Bilac"
"1925","State of São Paulo","Birigüi"
"1926","State of São Paulo","Biritiba-Mirim"
"1927","State of São Paulo","Boa Esperança do Sul"
"1928","State of São Paulo","Bocaina"
"1929","State of São Paulo","Bofete"
"1930","State of São Paulo","Boituva"
"1931","State of São Paulo","Bom Jesus dos Perdões"
"1932","State of São Paulo","Borborema"
"1933","State of São Paulo","Botucatu"
"1934","State of São Paulo","Bragança Paulista"
"1935","State of São Paulo","Brodowski"
"1936","State of São Paulo","Brotas"
"1937","State of São Paulo","Buri"
"1938","State of São Paulo","Buritama"
"1939","State of São Paulo","Cabreúva"
"1940","State of São Paulo","Caçapava"
"1941","State of São Paulo","Cachoeira Paulista"
"1942","State of São Paulo","Caconde"
"1943","State of São Paulo","Cafelândia"
"1944","State of São Paulo","Caieiras"
"1945","State of São Paulo","Cajamar"
"1946","State of São Paulo","Cajati"
"1947","State of São Paulo","Cajobi"
"1948","State of São Paulo","Cajuru"
"1949","State of São Paulo","Campinas"
"1950","State of São Paulo","Campo Limpo Paulista"
"1951","State of São Paulo","Campos do Jordão"
"1952","State of São Paulo","Cananéia"
"1953","State of São Paulo","Cândido Mota"
"1954","State of São Paulo","Capão Bonito"
"1955","State of São Paulo","Capela do Alto"
"1956","State of São Paulo","Capivari"
"1957","State of São Paulo","Caraguatatuba"
"1958","State of São Paulo","Carapicuíba"
"1959","State of São Paulo","Cardoso"
"1960","State of São Paulo","Casa Branca"
"1961","State of São Paulo","Castilho"
"1962","State of São Paulo","Catanduva"
"1963","State of São Paulo","Cedral"
"1964","State of São Paulo","Cerqueira César"
"1965","State of São Paulo","Cerquilho"
"1966","State of São Paulo","Cesário Lange"
"1967","State of São Paulo","Charqueada"
"1968","State of São Paulo","Chavantes"
"1969","State of São Paulo","Colina"
"1970","State of São Paulo","Conchal"
"1971","State of São Paulo","Conchas"
"1972","State of São Paulo","Cordeirópolis"
"1973","State of São Paulo","Cosmópolis"
"1974","State of São Paulo","Cosmorama"
"1975","State of São Paulo","Cotia"
"1976","State of São Paulo","Cravinhos"
"1977","State of São Paulo","Cristais Paulista"
"1978","State of São Paulo","Cruzeiro"
"1979","State of São Paulo","Cubatão"
"1980","State of São Paulo","Cunha"
"1981","State of São Paulo","Descalvado"
"1982","State of São Paulo","Diadema"
"1983","State of São Paulo","Divinolândia"
"1984","State of São Paulo","Dobrada"
"1985","State of São Paulo","Dois Córregos"
"1986","State of São Paulo","Dourado"
"1987","State of São Paulo","Dracena"
"1988","State of São Paulo","Duartina"
"1989","State of São Paulo","Dumont"
"1990","State of São Paulo","Elias Fausto"
"1991","State of São Paulo","Embu"
"1992","State of São Paulo","Embu-Guaçu"
"1993","State of São Paulo","Engenheiro Coelho"
"1994","State of São Paulo","Espírito Santo do Pinhal"
"1995","State of São Paulo","Estiva Gerbi"
"1996","State of São Paulo","Estrela d'Oeste"
"1997","State of São Paulo","Fartura"
"1998","State of São Paulo","Fernandópolis"
"1999","State of São Paulo","Ferraz de Vasconcelos"
"2000","State of São Paulo","Flórida Paulista"
"2001","State of São Paulo","Franca"
"2002","State of São Paulo","Francisco Morato"
"2003","State of São Paulo","Franco da Rocha"
"2004","State of São Paulo","Garça"
"2005","State of São Paulo","General Salgado"
"2006","State of São Paulo","Getulina"
"2007","State of São Paulo","Guaiçara"
"2008","State of São Paulo","Guaíra"
"2009","State of São Paulo","Guapiaçu"
"2010","State of São Paulo","Guapiara"
"2011","State of São Paulo","Guará"
"2012","State of São Paulo","Guaraci"
"2013","State of São Paulo","Guararapes"
"2014","State of São Paulo","Guararema"
"2015","State of São Paulo","Guaratinguetá"
"2016","State of São Paulo","Guareí"
"2017","State of São Paulo","Guariba"
"2018","State of São Paulo","Guarujá"
"2019","State of São Paulo","Guarulhos"
"2020","State of São Paulo","Herculândia"
"2021","State of São Paulo","Holambra"
"2022","State of São Paulo","Hortolândia"
"2023","State of São Paulo","Iacanga"
"2024","State of São Paulo","Ibaté"
"2025","State of São Paulo","Ibirá"
"2026","State of São Paulo","Ibitinga"
"2027","State of São Paulo","Ibiúna"
"2028","State of São Paulo","Igaraçu do Tietê"
"2029","State of São Paulo","Igarapava"
"2030","State of São Paulo","Igaratá"
"2031","State of São Paulo","Iguape"
"2032","State of São Paulo","Ilha Comprida"
"2033","State of São Paulo","Ilha Solteira"
"2034","State of São Paulo","Ilhabela"
"2035","State of São Paulo","Indaiatuba"
"2036","State of São Paulo","Ipaussu"
"2037","State of São Paulo","Iperó"
"2038","State of São Paulo","Ipeúna"
"2039","State of São Paulo","Ipiguá"
"2040","State of São Paulo","Ipuã"
"2041","State of São Paulo","Iracemápolis"
"2042","State of São Paulo","Itaberá"
"2043","State of São Paulo","Itaí"
"2044","State of São Paulo","Itajobi"
"2045","State of São Paulo","Itanhaém"
"2046","State of São Paulo","Itapecerica da Serra"
"2047","State of São Paulo","Itapetininga"
"2048","State of São Paulo","Itapeva"
"2049","State of São Paulo","Itapevi"
"2050","State of São Paulo","Itapira"
"2051","State of São Paulo","Itápolis"
"2052","State of São Paulo","Itaporanga"
"2053","State of São Paulo","Itapuí"
"2054","State of São Paulo","Itaquaquecetuba"
"2055","State of São Paulo","Itararé"
"2056","State of São Paulo","Itariri"
"2057","State of São Paulo","Itatiba"
"2058","State of São Paulo","Itatinga"
"2059","State of São Paulo","Itirapina"
"2060","State of São Paulo","Itu"
"2061","State of São Paulo","Itupeva"
"2062","State of São Paulo","Ituverava"
"2063","State of São Paulo","Jaboticabal"
"2064","State of São Paulo","Jacareí"
"2065","State of São Paulo","Jaci"
"2066","State of São Paulo","Jacupiranga"
"2067","State of São Paulo","Jaguariúna"
"2068","State of São Paulo","Jales"
"2069","State of São Paulo","Jandira"
"2070","State of São Paulo","Jardinópolis"
"2071","State of São Paulo","Jarinu"
"2072","State of São Paulo","Jaú"
"2073","State of São Paulo","Joanópolis"
"2074","State of São Paulo","José Bonifácio"
